,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01706168623264767,0.03888232162732194,0.07515232243628789,0.03883480375516221,0.03883480375516221,-0.022813113046468214,-0.010542583548163204,-0.02122312294449491
ACLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13351301509626942,0.03052633129763524,0.019494575095807876,0.05260366292430896,0.05260366292430896,0.008590324159990947,0.06191510814654666,0.00992595608090438
ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04549650930157352,0.047487121015154565,0.05253043602493727,0.04357599801803741,0.04357599801803741,0.06027394212111726,0.03372183639565336,0.05391354781704032
ALLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14099895627169723,-0.12751030799443727,-0.11077870023984371,-0.10484597039680717,-0.10484597039680717,-0.09983403355891518,-0.09780838756468356,-0.11527742683237878
ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01092496836221623,-0.0015524200209247052,0.013221347674866997,-0.008105964106186019,-0.008105964106186019,-0.011738804938879424,-0.0016622127030412118,-0.025970288865707986
AMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12507383883202838,0.09871783395675654,0.07900582481127594,0.05794289593758476,0.05794289593758476,0.06231263382706841,0.0917884211844508,0.07344934609509915
AMKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041264974323799865,0.028040697209798994,0.025225236812861034,0.01628489287858973,0.01628489287858973,0.015920954766719772,0.03012467486041575,0.015826206744732813
ANSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029538623602877442,0.03936596213119563,0.03323997659714229,0.03344232786909845,0.03344232786909845,0.03896382305174712,0.018707921801208158,0.023093562904321595
ASML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052450511169589514,0.05587676114323456,0.05457524647110421,0.03234596207318796,0.03234596207318796,0.061812557228561,0.05272676377069673,0.05798090411480564
AVGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032110684297694536,0.1772153814301183,0.1340837395791536,0.28004204669883875,0.28004204669883875,0.16613157629901432,0.07437665061695764,0.09444386214977113
AVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012675810965845385,-0.018481045095750187,-0.016401644234887176,-0.05770386784571087,-0.05770386784571087,-0.023046847758783948,-0.0036437890759661515,-0.02680173958137279
AWRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039501943298617906,0.03934879100558525,0.038627063041180694,0.038778281817287714,0.038778281817287714,0.03791459621831036,0.03837396165201568,0.03961121318168572
AXTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0871929999164547,0.013414231238418048,0.02465937421837404,-0.05534890041028558,-0.05534890041028558,0.04844030341163706,0.10928875326199468,0.06273407384673184
AZPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05050555824143635,0.05927850658428863,0.048495675092529375,0.05363832151568125,0.05363832151568125,0.051796951016350665,0.025532863754324106,0.03395533894550172
BBSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11742080192154528,0.11006012675874788,0.021386472628355552,0.09015211239672387,0.09015211239672387,0.10867669891183201,0.003322108454075684,0.06242906169229058
BIDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061536740613956115,0.05841729163901385,0.03399413073340396,0.12434233489780633,0.12434233489780633,0.0350244192490409,0.12044374143222478,0.07237322343829147
BLKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02932686888388375,0.047461449197165134,0.026168032880689904,0.02001078946632004,0.02001078946632004,0.03758719367555066,0.007987008875387364,0.0188114439864059
BRKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10733739887528368,0.045821516503748494,0.013313734069496264,0.011775631413223867,0.011775631413223867,0.0474785159390361,0.0596051652272124,0.06811575481562213
